Plot	Sample	SampDate	NPOC_ppm	DON_ppm	NO3_ppm	NH4_ppm	minN_ppm	chl_labile_C_mgkg	chl_labile_N_mgkg	NPOC_mgkg	DON_mgkg	NO3_mgkg	NH4_mgkg	minN_mgkg	mbc_mgkg	mbn_mgkg
10	2	2017-08-10 00:00:00.000	24.33	2.026	0.11636	0.02492107	0.14128107	199.8730164	34.73656774	138.5775024	11.53958158	0.662757015	0.141944087	0.804701102	444.1622586	64.32697729
10	3	2017-07-05 00:00:00.000	74.2	3.738	0.10414	0.04360507	0.14774507	32.27664464	8.389116867	387.3197356	19.51214517	0.543604815	0.227615959	0.771220774	71.72587697	15.53540161
10	3	2017-07-14 00:00:00.000	52.4	3.497	0.10024	0.03097607	0.13121607	102.0893485	13.38969102	260.5707033	17.38961354	0.498465788	0.154035426	0.652501214	226.8652189	24.79572411
10	3	2017-07-20 00:00:00.000	80.82	2.317	0.11428	0.03426307	0.14854307	0	3.65323106	426.5245488	12.22788146	0.603108456	0.18082208	0.783930536	0	6.765242704
10	3	2017-08-10 00:00:00.000	21.95	1.58	0.11012	0.01834707	0.12846707	163.0831313	30.58797171	123.1313469	8.863213128	0.617732297	0.102920248	0.720652545	362.4069585	56.64439206
10	4	2017-07-05 00:00:00.000	89.9	3.764	0.09686	0.02422907	0.12108907	22.0479745	9.02158347	471.4289915	19.73813931	0.50792672	0.127055462	0.634982182	48.99549888	16.70663606
10	4	2017-07-14 00:00:00.000	35.31	2.222	0.10284	0.02509407	0.12793407	69.93457209	16.15408929	174.3283411	10.97019468	0.507729442	0.123891464	0.631620906	155.4101602	29.91498016
10	4	2017-07-20 00:00:00.000	89.64	3.042	0.12572	0.03253307	0.15825307	0	3.212004489	450.5077249	15.28831436	0.631836582	0.163502893	0.795339475	0	5.94815646
10	4	2017-08-10 00:00:00.000	98.05	2.513	0.09842	0.02665107	0.12507107	0	17.73275767	562.8892487	14.42672802	0.565013359	0.152999498	0.718012857	0	32.83844012
10	5	2017-07-05 00:00:00.000	91.28	4.168	0.0979	0.03547407	0.13337407	31.20393302	14.06689033	478.0944246	21.83060431	0.512767793	0.185801436	0.698569229	69.34207338	26.04979691
10	5	2017-07-14 00:00:00.000	32.86	1.42	0.0979	0.02284507	0.12074507	0	10.25273005	170.245826	7.356940744	0.507214436	0.118359033	0.625573469	0	18.98653713
10	5	2017-07-20 00:00:00.000	109.95	2.776	0.09972	0.03357107	0.13329107	0	0.947549687	569.4229998	14.37670075	0.516442579	0.173862114	0.690304693	0	1.754721643
10	5	2017-08-10 00:00:00.000	104.25	4.394	0.09972	0.02405607	0.12377607	0	25.44730231	588.209535	24.79225608	0.562649926	0.135731508	0.698381434	0	47.12463392
11	1	2017-07-05 00:00:00.000	63.79	3.656	0.09842	0.04308607	0.14150607	69.83740819	16.8809623	327.5140995	18.77083474	0.505313336	0.221214852	0.726528188	155.1942404	31.2610413
11	1	2017-07-14 00:00:00.000	118.05	3.878	0.10128	0.03443607	0.13571607	0	16.24679715	605.1121597	19.87822919	0.519150864	0.176515753	0.695666617	0	30.08666138
11	1	2017-07-20 00:00:00.000	61.3	2.095	0.11116	0.03841507	0.14957507	0	9.29318492	311.6725029	10.65177641	0.565179697	0.195316819	0.760496516	0	17.2096017
11	1	2017-08-10 00:00:00.000	34.3	2.297	0.11818	0.01679007	0.13497007	83.5560707	23.55485319	204.0939863	13.6677518	0.703201962	0.099905315	0.803107277	185.6801571	43.62009851
11	2	2017-07-05 00:00:00.000	62.75	3.11	0	0.04014507	0.04014507	100.3110193	14.50203235	326.0180008	16.15802362	0	0.208573952	0.208573952	222.9133761	26.85561546
11	2	2017-07-14 00:00:00.000	72.17	3.964	0.11584	0.03806907	0.15390907	29.93334445	19.46445855	350.972719	19.27748175	0.563345985	0.185135167	0.748481152	66.51854323	36.0452936
11	2	2017-07-20 00:00:00.000	44.24	1.805	0.11506	0.03374407	0.14880407	154.4986048	9.335881354	224.1275001	9.144442532	0.582913882	0.170953301	0.753867183	343.3302328	17.28866917
11	2	2017-08-10 00:00:00.000	31.57	1.336	0.10466	0.01523307	0.11989307	72.08078249	18.86575615	174.935352	7.403029151	0.579940891	0.084409327	0.664350218	160.1795166	34.93658546
11	3	2017-07-05 00:00:00.000	56.74	3.406	0	0.04152907	0.04152907	148.7690046	16.53878739	300.72576	18.05202571	0	0.220106823	0.220106823	330.597788	30.62738406
11	3	2017-07-14 00:00:00.000	60.02	2.579	0.107	0.03028407	0.13728407	0	15.82425202	294.2141152	12.64208935	0.524507003	0.148450531	0.672957534	0	29.30417041
11	3	2017-07-20 00:00:00.000	65.94	2.184	0.10804	0.03322507	0.14126507	0	6.108149042	329.2487826	10.90505522	0.539460699	0.165897996	0.705358695	0	11.31138711
11	3	2017-08-10 00:00:00.000	65.86	1.376	0.0979	0.01800107	0.11590107	0	20.97040475	354.562629	7.407807129	0.527052557	0.096910214	0.623962771	0	38.83408287
11	4	2017-07-05 00:00:00.000	42.03	2.372	0	0.03391707	0.03391707	49.5881303	11.6839736	222.7157193	12.56915741	0	0.179725545	0.179725545	110.1958451	21.63698816
11	4	2017-07-14 00:00:00.000	47.23	3.211	0.1083	0.03184107	0.14014107	132.941787	20.74516994	231.0232767	15.70645229	0.529744249	0.155749065	0.685493314	295.4261934	38.41698138
11	4	2017-07-20 00:00:00.000	26.18	1.68	0.11532	0.02768907	0.14300907	116.2591364	8.034065448	135.6987699	8.707942455	0.59773805	0.143520731	0.741258781	258.3536364	14.87789898
11	4	2017-08-10 00:00:00.000	45.65	1.879	0	0.02111507	0.02111507	86.86698263	23.11381809	252.2547247	10.38305866	0	0.116678558	0.116678558	193.0377392	42.80336684
11	5	2017-07-05 00:00:00.000	39.29	2.362	0.09842	0.03582007	0.13424007	73.65053101	11.01576621	205.2855092	12.341165	0.514232625	0.187155544	0.701388169	163.6678467	20.39956706
11	5	2017-07-14 00:00:00.000	32.26	2.045	0.10284	0.02474807	0.12758807	126.6159274	18.12902229	162.8385757	10.32253215	0.519104747	0.124920659	0.644025406	281.3687275	33.5722635
11	5	2017-07-20 00:00:00.000	26.57	1.38	0.11116	0.03305207	0.14421207	68.53867749	8.064394086	136.6016529	7.094854382	0.571495662	0.169927264	0.741422926	152.3081722	14.93406312
11	5	2017-08-10 00:00:00.000	20	1.078	0.10622	0	0.10622	107.6828952	21.11382529	116.9130033	6.30161088	0.620924961	0	0.620924961	239.2953226	39.09967645
12	1	2017-07-05 00:00:00.000	54.94	3.279	0.09816	0.03651207	0.13467207	87.65869939	12.88398911	282.6311131	16.86835493	0.504970332	0.187831216	0.692801548	194.7971098	23.85923909
12	1	2017-07-14 00:00:00.000	55.24	2.957	0.1083	0.02284507	0.13114507	5.801904605	6.431599898	273.4388496	14.63719548	0.536086666	0.113083448	0.649170114	12.89312134	11.91037018
12	1	2017-07-20 00:00:00.000	49	2.052	0.10752	0.03374407	0.14126407	45.50640987	9.531522357	247.9617218	10.38402966	0.544098864	0.170759953	0.714858817	101.1253553	17.65096733
12	1	2017-08-10 00:00:00.000	30.64	1.892	0.09868	0.01955807	0.11823807	112.8107793	26.31009021	174.0150209	10.74531395	0.56043741	0.111076957	0.671514367	250.6906206	48.72238927
12	2	2017-07-05 00:00:00.000	43.12	2.482	0.09738	0.03512807	0.13250807	69.21108426	14.47437385	232.8417507	13.40244029	0.525837887	0.189686487	0.715524374	153.8024095	26.80439601
12	2	2017-07-14 00:00:00.000	43.72	2.479	0.1083	0.03011107	0.13841107	103.831382	22.71216501	216.3463262	12.26721278	0.535917363	0.149003188	0.684920551	230.7364044	42.05956483
12	2	2017-07-20 00:00:00.000	183.05	2.34	0.09868	0.03045707	0.12913707	0	1.747631315	940.0851164	12.01747704	0.506788305	0.156417581	0.663205886	0	3.236354287
12	2	2017-08-10 00:00:00.000	27.47	1.438	0.10544	0.01834707	0.12378707	144.5815383	30.04362688	153.2394347	8.021780381	0.588189516	0.102347821	0.690537337	321.2923074	55.63634607
12	3	2017-07-05 00:00:00.000	53.39	2.923	0.09738	0.04948707	0.14686707	54.83945413	14.03709562	282.9589155	15.49145739	0.516099254	0.262273978	0.778373232	121.8654536	25.99462153
12	3	2017-07-14 00:00:00.000	61.74	2.296	0.09842	0.02665107	0.12507107	11.82782232	15.95787822	307.8240244	11.44742404	0.490703604	0.132877221	0.623580825	26.28404961	29.55162634
12	3	2017-07-20 00:00:00.000	254.55	1.524	0.10388	0.02976507	0.13364507	0	6.165972255	1285.716178	7.697628972	0.524691403	0.150341513	0.675032916	0	11.41846714
12	3	2017-08-10 00:00:00.000	38.16	3.606	0.107	0.10363607	0.21063607	47.25336758	6.968079338	211.6156543	19.99701387	0.593366746	0.574712127	1.168078873	105.0074835	12.90385063
12	4	2017-07-05 00:00:00.000	77.74	3.972	0	0.04014507	0.04014507	79.731097	20.83414719	408.3175744	20.86232835	0	0.210855899	0.210855899	177.1802156	38.58175406
12	4	2017-07-14 00:00:00.000	72.43	3.132	0.10076	0.02249907	0.12325907	13.83537188	8.956258266	357.8736055	15.47508122	0.497850953	0.111166965	0.609017918	30.74527084	16.58566346
12	4	2017-07-20 00:00:00.000	73.39	1.236	0.0979	0.03028407	0.12818407	0	6.825116871	378.1771814	6.369082929	0.504476714	0.156053198	0.660529912	0	12.63910532
12	4	2017-08-10 00:00:00.000	20.82	1.046	0.1057	0.01506007	0.12076007	118.1777894	21.56822168	110.7435711	5.563774032	0.562228408	0.080105953	0.642334361	262.6173099	39.94115126
12	5	2017-07-05 00:00:00.000	46.47	3.537	0.1005	0.05900207	0.15950207	158.0951601	23.81632195	243.4146313	18.52716916	0.526429319	0.309058901	0.83548822	351.3225779	44.1042999
12	5	2017-07-14 00:00:00.000	23.58	1.856	0.11454	0.01921207	0.13375207	154.3861158	21.37913377	117.8037316	9.27242264	0.572232376	0.095981914	0.66821429	343.0802573	39.59098846
12	5	2017-07-20 00:00:00.000	147.75	1.364	0.1031	0.03080307	0.13390307	0	8.41462488	755.0306667	6.97030003	0.526860655	0.15740956	0.684270215	0	15.58263867
12	5	2017-08-10 00:00:00.000	26.18	1.142	0.11376	0	0.11376	84.93425977	20.366632	144.1781427	6.289206988	0.626497537	0	0.626497537	188.7427995	37.71598518
2	1	2017-07-03 00:00:00.000	30.32	1.998	0.09998	0.03876107	0.13874107	171.7675865	18.60976539	160.5458041	10.57950253	0.52939873	0.205241661	0.734640391	381.7057477	34.4625285
2	1	2017-07-11 00:00:00.000	30.84	2.426	0.0979	0.02509407	0.12299407	128.5699496	16.79275312	152.3167879	11.98185887	0.48352184	0.123938007	0.607459847	285.710999	31.09769096
2	1	2017-07-17 00:00:00.000	42.47	2.749	0.10076	0.02405607	0.12481607	NULL	NULL	213.2267836	13.80175249	0.505880167	0.120776982	0.626657149	NULL	NULL
2	1	2017-08-07 00:00:00.000	30.49	2.121	0.12052	0.01644407	0.13696407	255.361494	27.60636097	169.571866	11.79606191	0.670278822	0.091454629	0.761733451	567.4699867	51.12289068
2	2	2017-07-03 00:00:00.000	47.52	2.788	0.0992	0.05502307	0.15422307	200.0244331	28.92117234	252.1565471	14.79403311	0.526387405	0.291970272	0.818357677	444.4987403	53.55772655
2	2	2017-07-11 00:00:00.000	32.4	2.229	0	0.02301807	0.02301807	157.6979683	18.34615469	160.9455621	11.07245858	0	0.114341241	0.114341241	350.4399295	33.97436053
2	2	2017-07-17 00:00:00.000	70.35	2.436	0.10076	0.02647807	0.12723807	147.399869	9.849921725	359.6194998	12.45249611	0.515071227	0.135352243	0.65042347	327.5552643	18.24059579
2	2	2017-08-07 00:00:00.000	28.94	1.554	0.10492	0	0.10492	215.2059173	15.51858865	156.7515384	8.417135129	0.568292032	0	0.568292032	478.2353719	28.73812714
2	3	2017-07-03 00:00:00.000	46.98	2.722	0	0.05017907	0.05017907	141.3875531	14.84452829	234.8047376	13.60448054	0	0.250793601	0.250793601	314.1945624	27.4898672
2	3	2017-07-11 00:00:00.000	30.22	2.044	0.09764	0.01506007	0.11270007	171.8723653	18.87199143	152.6784622	10.32676296	0.493299969	0.076086973	0.569386942	381.9385895	34.94813228
2	3	2017-07-17 00:00:00.000	37.93	1.861	0.11454	0.01973107	0.13427107	NULL	NULL	187.2059736	9.185086129	0.565319594	0.097383975	0.662703569	NULL	NULL
2	3	2017-08-07 00:00:00.000	26.51	1.891	0.11298	0.01627107	0.12925107	278.474661	22.85318528	138.7482826	9.897133251	0.591315767	0.085159676	0.676475443	618.8325799	42.32071348
2	4	2017-07-03 00:00:00.000	39.92	2.205	0.09842	0.04983307	0.14825307	207.6833655	19.46161721	203.8729822	11.26102018	0.502634742	0.254499414	0.757134156	461.51859	36.04003188
2	4	2017-07-11 00:00:00.000	69.85	2.327	0.09712	0.02388307	0.12100307	0	14.52079717	354.5120301	11.81030056	0.492916369	0.12121454	0.614130909	0	26.89036514
2	4	2017-07-17 00:00:00.000	38.04	2.412	0.1226	0.02526707	0.14786707	NULL	NULL	188.2066304	11.93360653	0.606575523	0.125011307	0.73158683	NULL	NULL
2	4	2017-08-07 00:00:00.000	19.5	1.388	0.09686	0.01419507	0.11105507	183.6762031	15.0238221	101.8962613	7.252923626	0.506137019	0.074175619	0.580312638	408.1693402	27.82189277
2	5	2017-07-03 00:00:00.000	49.6	2.771	0.09686	0.04222107	0.13908107	103.6054098	16.88717776	254.4538084	14.2155545	0.496903143	0.216599033	0.713502176	230.2342439	31.27255141
2	5	2017-07-11 00:00:00.000	28.93	2.328	0.10336	0.01955807	0.12291807	177.2815052	17.97750661	148.5567325	11.95437516	0.530757825	0.100431489	0.631189314	393.9589005	33.2916789
2	5	2017-07-17 00:00:00.000	52.11	2.715	0.09998	0.02319107	0.12317107	220.5158905	9.595307116	266.7803843	13.89961127	0.511853825	0.118728124	0.630581949	490.0353122	17.76908725
2	5	2017-08-07 00:00:00.000	24.86	1.471	0.0979	0	0.0979	197.8354455	18.99246818	132.5120465	7.840917958	0.521839475	0	0.521839475	439.6343234	35.17123738
3	1	2017-07-03 00:00:00.000	44.91	3.426	0.11038	0.05519607	0.16557607	131.4622879	21.63656945	233.2387746	17.79283103	0.573255309	0.286659179	0.859914488	292.1384176	40.06772121
3	1	2017-07-11 00:00:00.000	41.28	3.276	0.11532	0.02509407	0.14041407	108.5214545	11.17860156	210.0131969	16.66674499	0.586693844	0.127666809	0.714360653	241.1587879	20.701114
3	1	2017-07-17 00:00:00.000	31.95	2.312	0.1109	0.02094207	0.13184207	NULL	NULL	163.4236318	11.82583526	0.567251354	0.107118283	0.674369637	NULL	NULL
3	1	2017-08-07 00:00:00.000	34.36	1.882	0.10024	0.01488707	0.11512707	172.5145183	17.37633842	187.7853892	10.28556759	0.547834907	0.081361299	0.629196206	383.3655963	32.17840447
3	2	2017-07-03 00:00:00.000	48.52	2.417	0.09738	0.04896807	0.14634807	119.7917322	21.98452922	246.7415246	12.29130802	0.495212071	0.249020121	0.744232192	266.2038494	40.71209115
3	2	2017-07-11 00:00:00.000	54.98	2.846	0	0.02198007	0.02198007	95.2163737	14.59378494	274.1472605	14.19103498	0	0.109599418	0.109599418	211.5919416	27.02552768
3	2	2017-07-17 00:00:00.000	42.76	2.771	0.11584	0.03184107	0.14768107	NULL	NULL	213.4541002	13.83258446	0.578262932	0.158947777	0.737210709	NULL	NULL
3	2	2017-08-07 00:00:00.000	25.29	1.67	0.10258	0.01367607	0.11625607	189.6012377	14.94894387	128.610016	8.492634507	0.521661346	0.069548422	0.591209768	421.3360838	27.68322939
3	3	2017-07-03 00:00:00.000	45.88	3.176	0.10466	0.05831007	0.16297007	158.4516315	27.2757235	245.1036752	16.9670722	0.559122726	0.311508554	0.87063128	352.1147366	50.51059907
3	3	2017-07-11 00:00:00.000	59.16	3.533	0.0979	0.02025007	0.11815007	274.4755589	33.96422281	314.2965151	18.76960088	0.520108668	0.107581583	0.627690251	609.9456864	62.89670891
