lab_ID	Substrate	Enzyme_nm_g_hr	RunDay
1	AG	115.2193629	2018-07-31 00:00:00.000
1	BG	379.1921681	2018-07-31 00:00:00.000
1	BX	122.0015859	2018-07-31 00:00:00.000
1	CBH	69.33452069	2018-07-31 00:00:00.000
1	LAP	726.7252174	2018-07-31 00:00:00.000
1	NAG	38.78152649	2018-07-31 00:00:00.000
1	PER1	0.360822579	2018-07-31 00:00:00.000
1	PEROX	3.736908307	2018-07-31 00:00:00.000
1	PHENOX	3.376085727	2018-07-31 00:00:00.000
1	PHOS	192.4783928	2018-07-31 00:00:00.000
2	AG	80.1846765	2018-07-31 00:00:00.000
2	BG	467.8303283	2018-07-31 00:00:00.000
2	BX	122.9520831	2018-07-31 00:00:00.000
2	CBH	63.32428439	2018-07-31 00:00:00.000
2	LAP	748.5888828	2018-07-31 00:00:00.000
2	NAG	39.05575523	2018-07-31 00:00:00.000
2	PER1	0.508542717	2018-07-31 00:00:00.000
2	PEROX	3.204504034	2018-07-31 00:00:00.000
2	PHENOX	2.695961317	2018-07-31 00:00:00.000
2	PHOS	156.7187716	2018-07-31 00:00:00.000
3	AG	120.7269477	2018-07-31 00:00:00.000
3	BG	491.7034848	2018-07-31 00:00:00.000
3	BX	162.7060146	2018-07-31 00:00:00.000
3	CBH	96.68051841	2018-07-31 00:00:00.000
3	LAP	889.8084752	2018-07-31 00:00:00.000
3	NAG	54.2413075	2018-07-31 00:00:00.000
3	PER1	0	2018-07-31 00:00:00.000
3	PEROX	3.933759756	2018-07-31 00:00:00.000
3	PHENOX	4.645285275	2018-07-31 00:00:00.000
3	PHOS	128.754692	2018-07-31 00:00:00.000
4	AG	127.8736052	2018-07-31 00:00:00.000
4	BG	579.0163947	2018-07-31 00:00:00.000
4	BX	169.9522862	2018-07-31 00:00:00.000
4	CBH	94.0709773	2018-07-31 00:00:00.000
4	LAP	1061.347157	2018-07-31 00:00:00.000
4	NAG	53.87487867	2018-07-31 00:00:00.000
4	PER1	0	2018-07-31 00:00:00.000
4	PEROX	2.69670215	2018-07-31 00:00:00.000
4	PHENOX	5.432367375	2018-07-31 00:00:00.000
4	PHOS	77.02180093	2018-07-31 00:00:00.000
5	AG	76.59592993	2018-07-31 00:00:00.000
5	BG	484.0868746	2018-07-31 00:00:00.000
5	BX	106.7032137	2018-07-31 00:00:00.000
5	CBH	58.29639594	2018-07-31 00:00:00.000
5	LAP	837.0239751	2018-07-31 00:00:00.000
5	NAG	39.94684135	2018-07-31 00:00:00.000
5	PER1	1.318994849	2018-07-31 00:00:00.000
5	PEROX	3.014489863	2018-07-31 00:00:00.000
5	PHENOX	1.695495015	2018-07-31 00:00:00.000
5	PHOS	76.94567176	2018-07-31 00:00:00.000
6	AG	109.3120371	2018-07-31 00:00:00.000
6	BG	459.2464046	2018-07-31 00:00:00.000
6	BX	97.93024005	2018-07-31 00:00:00.000
6	CBH	62.67520808	2018-07-31 00:00:00.000
6	LAP	929.8302868	2018-07-31 00:00:00.000
6	NAG	42.45735487	2018-07-31 00:00:00.000
6	PER1	0.214286809	2018-07-31 00:00:00.000
6	PEROX	1.930341057	2018-07-31 00:00:00.000
6	PHENOX	1.716054248	2018-07-31 00:00:00.000
6	PHOS	3.566270743	2018-07-31 00:00:00.000
7	AG	84.03722654	2018-07-31 00:00:00.000
7	BG	555.3599961	2018-07-31 00:00:00.000
7	BX	122.6488099	2018-07-31 00:00:00.000
7	CBH	70.61259831	2018-07-31 00:00:00.000
7	LAP	812.3764169	2018-07-31 00:00:00.000
7	NAG	46.89543926	2018-07-31 00:00:00.000
7	PER1	0.031750666	2018-07-31 00:00:00.000
7	PEROX	1.641042753	2018-07-31 00:00:00.000
7	PHENOX	1.609292087	2018-07-31 00:00:00.000
7	PHOS	2.146930856	2018-07-31 00:00:00.000
8	AG	96.08522013	2018-07-31 00:00:00.000
8	BG	573.6762856	2018-07-31 00:00:00.000
8	BX	149.8124726	2018-07-31 00:00:00.000
8	CBH	107.6745244	2018-07-31 00:00:00.000
8	LAP	945.9559411	2018-07-31 00:00:00.000
8	NAG	65.07108817	2018-07-31 00:00:00.000
8	PER1	0.607021008	2018-07-31 00:00:00.000
8	PEROX	2.27268962	2018-07-31 00:00:00.000
8	PHENOX	1.665668611	2018-07-31 00:00:00.000
8	PHOS	167.588151	2018-07-31 00:00:00.000
9	AG	93.99707217	2018-07-31 00:00:00.000
9	BG	502.5880791	2018-07-31 00:00:00.000
9	BX	146.6654367	2018-07-31 00:00:00.000
9	CBH	77.0485928	2018-07-31 00:00:00.000
9	LAP	767.3287996	2018-07-31 00:00:00.000
9	NAG	56.50493663	2018-07-31 00:00:00.000
9	PER1	1.693726814	2018-07-31 00:00:00.000
9	PEROX	3.748764836	2018-07-31 00:00:00.000
9	PHENOX	2.055038022	2018-07-31 00:00:00.000
9	PHOS	180.2947367	2018-07-31 00:00:00.000
10	AG	0	2018-07-31 00:00:00.000
10	BG	0	2018-07-31 00:00:00.000
10	BX	0	2018-07-31 00:00:00.000
10	CBH	0	2018-07-31 00:00:00.000
10	LAP	0	2018-07-31 00:00:00.000
10	NAG	0	2018-07-31 00:00:00.000
10	PER1	0	2018-07-31 00:00:00.000
10	PEROX	0	2018-07-31 00:00:00.000
10	PHENOX	0	2018-07-31 00:00:00.000
