Plot	Sample	SampDate	Intial	Final	Count	Graze	Trample	Time
4	5	2017-08-09 00:00:00.000	54210	54448	5	0	0	4wk
5	1	2017-07-04 00:00:00.000	26044	26239	5	0	0	PRE
5	1	2017-07-13 00:00:00.000	69372	69526	5	10	20	24H
5	1	2017-07-19 00:00:00.000	14407	14484	5	70	20	1wk
5	1	2017-08-09 00:00:00.000	58065	58210	5	30	70	4wk
5	2	2017-07-04 00:00:00.000	26313	26473	5	0	0	PRE
5	2	2017-07-13 00:00:00.000	69565	69718	5	0	30	24H
5	2	2017-07-19 00:00:00.000	14484	14584	5	40	40	1wk
5	2	2017-08-09 00:00:00.000	58210	58345	5	20	20	4wk
5	3	2017-07-04 00:00:00.000	26532	26666	5	0	0	PRE
5	3	2017-07-13 00:00:00.000	69759	69889	5	10	10	24H
5	3	2017-07-19 00:00:00.000	14584	14691	5	10	80	1wk
5	3	2017-08-09 00:00:00.000	58345	58485	5	40	5	4wk
5	4	2017-07-04 00:00:00.000	26690	26833	5	0	0	PRE
5	4	2017-07-13 00:00:00.000	69943	70044	5	40	10	24H
5	4	2017-07-19 00:00:00.000	14691	14825	5	30	0	1wk
5	4	2017-08-09 00:00:00.000	58485	58560	5	60	10	4wk
5	5	2017-07-04 00:00:00.000	26877	27046	5	0	0	PRE
5	5	2017-07-13 00:00:00.000	70067	70222	5	0	0	24H
5	5	2017-07-19 00:00:00.000	14825	14946	5	20	20	1wk
5	5	2017-08-09 00:00:00.000	58560	58736	5	60	10	4wk
6	1	2017-07-04 00:00:00.000	27186	27310	5	0	0	PRE
6	1	2017-07-13 00:00:00.000	70743	70846	5	0	80	24H
6	1	2017-07-19 00:00:00.000	18270	18343	5	80	20	1wk
6	1	2017-08-09 00:00:00.000	62311	62376	5	50	10	4wk
6	2	2017-07-04 00:00:00.000	27317	27437	5	0	0	PRE
6	2	2017-07-13 00:00:00.000	70680	70743	5	70	90	24H
6	2	2017-07-19 00:00:00.000	18343	18439	5	90	10	1wk
6	2	2017-08-09 00:00:00.000	62196	62289	5	0	90	4wk
6	3	2017-07-04 00:00:00.000	27459	27575	5	0	0	PRE
6	3	2017-07-13 00:00:00.000	70519	70651	5	20	40	24H
6	3	2017-07-19 00:00:00.000	18439	18553	5	80	40	1wk
6	3	2017-08-09 00:00:00.000	62376	62497	5	5	30	4wk
6	4	2017-07-04 00:00:00.000	27865	28081	5	0	0	PRE
6	4	2017-07-13 00:00:00.000	70361	70484	5	70	30	24H
6	4	2017-07-19 00:00:00.000	18553	18672	5	40	30	1wk
6	4	2017-08-09 00:00:00.000	62497	62614	5	60	20	4wk
6	5	2017-07-04 00:00:00.000	28081	28248	5	0	0	PRE
6	5	2017-07-13 00:00:00.000	70027	70343	5	80	20	24H
6	5	2017-07-19 00:00:00.000	18672	18811	5	60	20	1wk
6	5	2017-08-09 00:00:00.000	62614	62754	5	30	40	4wk
7	1	2017-07-04 00:00:00.000	28261	28384	5	0	0	PRE
7	1	2017-07-12 00:00:00.000	57835	58009	5	40	0	24H
7	1	2017-07-18 00:00:00.000	269	337	5	NULL	NULL	1wk
7	1	2017-08-08 00:00:00.000	40329	40460	5	20	60	4wk
7	2	2017-07-04 00:00:00.000	28384	28485	5	0	0	PRE
7	2	2017-07-12 00:00:00.000	58009	58107	5	40	10	24H
7	2	2017-07-18 00:00:00.000	99969	100042	5	40	40	1wk
7	2	2017-08-08 00:00:00.000	40460	40514	5	50	20	4wk
7	3	2017-07-04 00:00:00.000	28485	28614	5	0	0	PRE
7	3	2017-07-12 00:00:00.000	58107	58256	5	0	10	24H
7	3	2017-07-18 00:00:00.000	42	111	5	50	40	1wk
7	3	2017-08-08 00:00:00.000	40514	40554	5	0	0	4wk
7	4	2017-07-04 00:00:00.000	28614	28718	5	0	0	PRE
7	4	2017-07-12 00:00:00.000	58257	58414	5	30	20	24H
7	4	2017-07-18 00:00:00.000	111	168	5	50	80	1wk
7	4	2017-08-08 00:00:00.000	40554	40672	5	80	20	4wk
7	5	2017-07-04 00:00:00.000	28718	28858	5	0	0	PRE
7	5	2017-07-12 00:00:00.000	58414	58558	5	0	10	24H
7	5	2017-07-18 00:00:00.000	168	269	5	40	20	1wk
7	5	2017-08-08 00:00:00.000	40672	40749	5	70	10	4wk
8	1	2017-07-04 00:00:00.000	28879	29090	5	0	0	PRE
8	1	2017-07-12 00:00:00.000	61901	61988	5	0	0	24H
8	1	2017-07-18 00:00:00.000	3085	3257	5	0	0	1wk
8	1	2017-08-08 00:00:00.000	43806	43900	5	0	0	4wk
8	2	2017-07-04 00:00:00.000	29090	29235	5	0	0	PRE
8	2	2017-07-12 00:00:00.000	62039	62179	5	0	0	24H
8	2	2017-07-18 00:00:00.000	3257	3394	5	0	0	1wk
8	2	2017-08-08 00:00:00.000	43900	44045	5	0	0	4wk
8	3	2017-07-04 00:00:00.000	29235	29324	5	0	0	PRE
8	3	2017-07-12 00:00:00.000	62179	62303	5	0	0	24H
8	3	2017-07-18 00:00:00.000	3394	3522	5	0	0	1wk
8	3	2017-08-08 00:00:00.000	44045	44171	5	0	0	4wk
8	4	2017-07-04 00:00:00.000	29324	29448	5	0	0	PRE
8	4	2017-07-12 00:00:00.000	62304	62418	5	0	0	24H
8	4	2017-07-18 00:00:00.000	2975	3085	5	0	0	1wk
8	4	2017-08-08 00:00:00.000	44171	44409	5	0	0	4wk
