Plot	Sample	SampDate	tinwght	mstsoil1011g	tinsoilOD24h	Gravmois	Imputed	Gravmois_percentage
4	4	2017-07-13 00:00:00.000	1	6.1	5.55	12.09	0	0.120879121
4	4	2017-07-19 00:00:00.000	1.01	6.58	6.16	8.16	0	0.081553398
4	4	2017-08-09 00:00:00.000	1	6.96	6.15	15.73	0	0.157281553
4	5	2017-07-04 00:00:00.000	1	6.18	5.81	7.69	0	0.076923077
4	5	2017-07-13 00:00:00.000	1	6.53	5.44	24.55	0	0.245495495
4	5	2017-07-19 00:00:00.000	1	5.98	5.57	8.97	0	0.089715536
4	5	2017-08-09 00:00:00.000	0.99	6.52	5.51	22.35	0	0.223451327
5	1	2017-07-04 00:00:00.000	1	6.04	5.77	5.66	0	0.056603774
5	1	2017-07-13 00:00:00.000	1.03	6.43	5.94	9.98	0	0.099796334
5	1	2017-07-19 00:00:00.000	1.02	7.29	6.85	7.55	0	0.075471698
5	1	2017-08-09 00:00:00.000	1.02	7.08	6.2	16.99	0	0.16988417
5	2	2017-07-04 00:00:00.000	1	6.47	6.21	4.99	0	0.049904031
5	2	2017-07-13 00:00:00.000	1.04	6.32	5.93	7.98	0	0.079754601
5	2	2017-07-19 00:00:00.000	1.03	7.78	7.35	6.8	0	0.068037975
5	2	2017-08-09 00:00:00.000	1.03	6.5	5.8	14.68	0	0.146750524
5	3	2017-07-04 00:00:00.000	1	6.1	5.81	6.03	0	0.06029106
5	3	2017-07-13 00:00:00.000	1.01	6.19	5.86	6.8	0	0.068041237
5	3	2017-07-19 00:00:00.000	1	7.09	6.72	6.47	0	0.064685315
5	3	2017-08-09 00:00:00.000	1	7.11	6.15	18.64	0	0.186407767
5	4	2017-07-04 00:00:00.000	1.01	6.09	5.71	8.09	0	0.080851064
5	4	2017-07-13 00:00:00.000	1	6.07	5.7	7.87	0	0.078723404
5	4	2017-07-19 00:00:00.000	0.99	6.24	5.85	8.02	0	0.080246914
5	4	2017-08-09 00:00:00.000	0.99	6.55	5.85	14.4	0	0.144032922
5	5	2017-07-04 00:00:00.000	1	6.3	6.06	4.74	0	0.04743083
5	5	2017-07-13 00:00:00.000	1.01	6.37	5.94	8.72	0	0.087221095
5	5	2017-07-19 00:00:00.000	1.01	6.28	5.86	8.66	0	0.086597938
5	5	2017-08-09 00:00:00.000	1	6.25	5.39	19.59	0	0.195899772
6	1	2017-07-04 00:00:00.000	1	6.43	6.18	4.83	0	0.048262548
6	1	2017-07-13 00:00:00.000	1.01	6.64	5.98	13.28	0	0.132796781
6	1	2017-07-19 00:00:00.000	1.01	6.06	5.65	8.84	0	0.088362069
6	1	2017-08-09 00:00:00.000	1.03	6.35	5.38	22.3	0	0.222988506
6	2	2017-07-04 00:00:00.000	1.01	6.1	5.98	2.41	0	0.024144869
