Plot	Sample	SampDate	doc_don	tin_wt	grav_mois	grav_od	mbc_prefum	mbc_postfum	leftover
4	2	2017-08-09 00:00:00.000	11.09	1.01	6.05	5.31	10.94	11.85	25.85
4	3	2017-07-04 00:00:00.000	10.09	1.02	6.06	5.8	10.06	11.3	23.75
4	3	2017-07-13 00:00:00.000	10.73	1.01	6.08	5.64	10.64	10.76	22.79
4	3	2017-07-19 00:00:00.000	10.86	1.01	5.97	5.63	10.51	10.79	30.57
4	3	2017-08-09 00:00:00.000	10.69	1.01	6.29	5.57	10.94	11.78	27
4	4	2017-07-04 00:00:00.000	10.15	1.01	6.3	5.88	10.15	10.58	29.24
4	4	2017-07-13 00:00:00.000	10.74	1	6.1	5.55	10.62	10.86	22.29
4	4	2017-07-19 00:00:00.000	10.74	1.01	6.58	6.16	10.82	10.85	31.84
4	4	2017-08-09 00:00:00.000	11.09	1	6.96	6.15	10.79	11.87	23.93
4	5	2017-07-04 00:00:00.000	10.13	1	6.18	5.81	10.09	10.3	29.85
4	5	2017-07-13 00:00:00.000	10.89	1	6.53	5.44	10.56	10.85	16.6
4	5	2017-07-19 00:00:00.000	11	1	5.98	5.57	10.79	10.84	37.03
4	5	2017-08-09 00:00:00.000	11.15	0.99	6.52	5.51	10.59	11.53	27.28
5	1	2017-07-04 00:00:00.000	10	1	6.04	5.77	10.13	10.27	22.3
5	1	2017-07-13 00:00:00.000	10.62	1.03	6.43	5.94	10.78	10.67	17.22
5	1	2017-07-19 00:00:00.000	11.02	1.02	7.29	6.85	11	11.04	27.75
5	1	2017-08-09 00:00:00.000	11.06	1.02	7.08	6.2	10.31	11.01	14.03
5	2	2017-07-04 00:00:00.000	10.22	1	6.47	6.21	10	10.28	18.65
5	2	2017-07-13 00:00:00.000	10.82	1.04	6.32	5.93	10.88	10.84	20
5	2	2017-07-19 00:00:00.000	10.54	1.03	7.78	7.35	10.54	11.04	30.34
5	2	2017-08-09 00:00:00.000	10.73	1.03	6.5	5.8	10.95	11.58	21.29
5	3	2017-07-04 00:00:00.000	10.21	1	6.1	5.81	10.02	10.53	24.28
5	3	2017-07-13 00:00:00.000	10.8	1.01	6.19	5.86	10.49	10.69	25.93
5	3	2017-07-19 00:00:00.000	10.93	1	7.09	6.72	10.61	10.96	32.38
5	3	2017-08-09 00:00:00.000	10.85	1	7.11	6.15	10.6	11.36	15.71
5	4	2017-07-04 00:00:00.000	10.14	1.01	6.09	5.71	10.13	11.35	20.12
