Plot	SampDate	Sample	calc_bd
11	Aug 10 2017 12:00AM	4	1.25435630689207
11	Aug 10 2017 12:00AM	5	1.29052304505438
11	Jul  5 2017 12:00AM	1	1.10476935105551
11	Jul  5 2017 12:00AM	2	1.10835272821308
11	Jul  5 2017 12:00AM	3	1.24428274428274
11	Jul  5 2017 12:00AM	4	1.09347488348006
11	Jul  5 2017 12:00AM	5	0.989076723016905
12	Aug 10 2017 12:00AM	1	1.28924116424116
12	Aug 10 2017 12:00AM	2	1.27721748125162
12	Aug 10 2017 12:00AM	3	1.21683606984623
12	Aug 10 2017 12:00AM	4	1.23431829963712
12	Aug 10 2017 12:00AM	5	1.28723128723129
12	Jul  5 2017 12:00AM	1	1.03259726603575
12	Jul  5 2017 12:00AM	2	1.01170351105332
12	Jul  5 2017 12:00AM	3	1.12952430196484
12	Jul  5 2017 12:00AM	4	1.13067150635209
12	Jul  5 2017 12:00AM	5	1.02076304178562
