SampDate	Plot	Sample	wet_sieve	dry_sieve	tin_wt	tin_wetsoil	tin_od	rockwt_measured	core_vol	old_bd_dontuse	calc_rockvol	calc_bd
2017-07-03 00:00:00.000	11	4	1	0	25.15	76.23	69.93	2.55	38.7	1.19	0.08	1.09347488348006
2017-07-03 00:00:00.000	11	5	1	0	25.53	76.69	64.24	0.68	38.7	1.01	0.25	0.989076723016905
2017-07-03 00:00:00.000	12	1	1	0	25.82	72.65	67.85	2.75	38.7	1.11	0.66	1.03259726603575
2017-07-03 00:00:00.000	12	2	1	0	25.46	71.67	67.18	2.82	38.7	1.11	0.25	1.01170351105332
2017-07-03 00:00:00.000	12	3	1	0	25.37	76.01	71.8	2.74	38.7	1.23	0.02	1.12952430196484
2017-07-03 00:00:00.000	12	4	1	0	25.83	76.76	71.94	2.5	38.7	1.22	0.13	1.13067150635209
2017-07-03 00:00:00.000	12	5	1	0	25.47	70.63	66.54	1.74	38.7	1.09	0.17	1.02076304178562
2017-08-08 00:00:00.000	7	1	NULL	NULL	25.68	80.96	73.58	0.4	38.7	1.23	0.15	1.23216601815824
2017-08-08 00:00:00.000	7	2	NULL	NULL	25.91	73.51	66.69	0.48	38.7	1.05	0.18	1.04620976116303
2017-08-08 00:00:00.000	7	3	NULL	NULL	25.24	77.89	70.46	0.55	38.7	1.16	0.21	1.1605611847233
2017-08-08 00:00:00.000	7	4	NULL	NULL	25.42	76.16	68.68	0.25	38.7	1.11	0.09	1.11396011396011
2017-08-08 00:00:00.000	7	5	NULL	NULL	25.41	81.37	72.59	0.18	38.7	1.22	0.07	1.21667098110277
2017-08-08 00:00:00.000	8	1	NULL	NULL	25.77	80.95	72.52	0.89	38.7	1.2	0.34	1.19551616266945
2017-08-08 00:00:00.000	8	2	NULL	NULL	25.9	75.63	68.13	0.04	38.7	1.09	0.02	1.09074457083764
2017-08-08 00:00:00.000	8	3	NULL	NULL	25.76	74.5	67.53	0.06	38.7	1.08	0.02	1.07833505687694
2017-08-08 00:00:00.000	8	4	NULL	NULL	25.78	82.23	68.47	0.11	38.7	1.1	0.04	1.10139679255044
2017-08-08 00:00:00.000	8	5	NULL	NULL	25.7	79.9	68.25	1.19	38.7	1.08	0.45	1.08130718954248
2017-08-08 00:00:00.000	9	1	NULL	NULL	25.77	69.96	62.6	0.4	38.7	0.95	0.15	0.945006485084306
2017-08-08 00:00:00.000	9	2	NULL	NULL	25.67	80.02	72.26	0.42	38.7	1.2	0.16	1.19797612869746
2017-08-08 00:00:00.000	9	3	NULL	NULL	25.29	79.77	72.51	0.44	38.7	1.21	0.17	1.21411886841422
2017-08-08 00:00:00.000	9	4	NULL	NULL	25.61	81.71	72.4	0.27	38.7	1.21	0.1	1.20518134715026
2017-08-08 00:00:00.000	9	5	NULL	NULL	25.5	81.63	73.06	0.5	38.7	1.22	0.19	1.22202025447936
2017-08-09 00:00:00.000	1	1	NULL	NULL	25.36	86.89	78.8	0.88	38.7	1.37	0.33	1.36982017200938
2017-08-09 00:00:00.000	1	2	NULL	NULL	26.04	82.69	75.22	0.61	38.7	1.26	0.23	1.26254224070704
2017-08-09 00:00:00.000	1	3	NULL	NULL	25.72	80.49	71.98	1.58	38.7	1.17	0.6	1.17270341207349
2017-08-09 00:00:00.000	1	4	NULL	NULL	25.83	81.15	71.86	0.4	38.7	1.18	0.15	1.18365758754864
