Plot	Sample	SampDate	type	Latitude	Longitude	y_proj	x_proj
3	5	2017-07-04 15:57:36.000	WAYPOINT	41.303867	-105.639417	41.303867	-105.639417
3	5	2017-07-11 15:40:39.000	WAYPOINT	41.303876	-105.639293	41.303876	-105.639293
3	5	2017-07-17 16:21:32.000	WAYPOINT	41.303815	-105.6395	41.303815	-105.6395
3	5	2017-08-07 15:14:18.000	WAYPOINT	41.30381	-105.639557	41.30381	-105.639557
4	1	2017-07-04 16:02:15.000	WAYPOINT	41.303727	-105.640385	41.303727	-105.640385
4	1	2017-07-13 15:29:44.000	WAYPOINT	41.303682	-105.640445	41.303682	-105.640445
4	1	2017-07-19 14:16:24.000	WAYPOINT	41.303664	-105.64024	41.303664	-105.64024
4	1	2017-08-09 15:41:41.000	WAYPOINT	41.30366	-105.64048	41.30366	-105.64048
4	2	2017-07-04 16:02:32.000	WAYPOINT	41.303675	-105.640319	41.303675	-105.640319
4	2	2017-07-13 15:31:41.000	WAYPOINT	41.303707	-105.640175	41.303707	-105.640175
4	2	2017-07-19 14:17:10.000	WAYPOINT	41.303687	-105.640133	41.303687	-105.640133
4	2	2017-08-09 15:42:20.000	WAYPOINT	41.303684	-105.640485	41.303684	-105.640485
4	3	2017-07-04 16:04:09.000	WAYPOINT	41.30368	-105.64016	41.30368	-105.64016
4	3	2017-07-13 15:33:01.000	WAYPOINT	41.30373	-105.640097	41.30373	-105.640097
4	3	2017-07-19 14:17:58.000	WAYPOINT	41.303663	-105.640038	41.303663	-105.640038
4	3	2017-08-09 15:45:58.000	WAYPOINT	41.303662	-105.640277	41.303662	-105.640277
4	4	2017-07-04 16:10:26.000	WAYPOINT	41.303688	-105.639924	41.303688	-105.639924
4	4	2017-07-13 15:34:12.000	WAYPOINT	41.303631	-105.639733	41.303631	-105.639733
4	4	2017-07-19 14:18:40.000	WAYPOINT	41.303641	-105.639935	41.303641	-105.639935
4	4	2017-08-09 15:43:28.000	WAYPOINT	41.303704	-105.640205	41.303704	-105.640205
4	5	2017-07-04 16:13:28.000	WAYPOINT	41.303663	-105.639433	41.303663	-105.639433
4	5	2017-07-13 15:50:02.000	WAYPOINT	41.303669	-105.639345	41.303669	-105.639345
4	5	2017-07-19 14:19:24.000	WAYPOINT	41.303687	-105.639861	41.303687	-105.639861
4	5	2017-08-09 15:47:54.000	WAYPOINT	41.303747	-105.639656	41.303747	-105.639656
5	1	2017-07-04 16:19:36.000	WAYPOINT	41.303566	-105.640458	41.303566	-105.640458
5	1	2017-07-13 16:44:21.000	WAYPOINT	41.303518	-105.640568	41.303518	-105.640568
5	1	2017-07-19 14:32:47.000	WAYPOINT	41.303533	-105.64033	41.303533	-105.64033
5	1	2017-08-09 15:59:25.000	WAYPOINT	41.303619	-105.64046	41.303619	-105.64046
5	2	2017-07-04 16:23:40.000	WAYPOINT	41.303518	-105.640275	41.303518	-105.640275
5	2	2017-07-13 16:46:53.000	WAYPOINT	41.303592	-105.640189	41.303592	-105.640189
5	2	2017-07-19 14:32:31.000	WAYPOINT	41.303502	-105.640266	41.303502	-105.640266
5	2	2017-08-09 16:00:08.000	WAYPOINT	41.303596	-105.640432	41.303596	-105.640432
5	3	2017-07-04 16:25:10.000	WAYPOINT	41.303502	-105.640188	41.303502	-105.640188
5	3	2017-07-13 16:51:14.000	WAYPOINT	41.303573	-105.640081	41.303573	-105.640081
5	3	2017-07-19 14:34:01.000	WAYPOINT	41.303492	-105.640089	41.303492	-105.640089
5	3	2017-08-09 16:00:47.000	WAYPOINT	41.303577	-105.640379	41.303577	-105.640379
5	4	2017-07-04 16:27:42.000	WAYPOINT	41.303583	-105.639689	41.303583	-105.639689
5	4	2017-07-13 16:53:23.000	WAYPOINT	41.303523	-105.639807	41.303523	-105.639807
5	4	2017-07-19 14:44:12.000	WAYPOINT	41.303509	-105.639923	41.303509	-105.639923
5	4	2017-08-09 16:01:32.000	WAYPOINT	41.303567	-105.640257	41.303567	-105.640257
5	5	2017-07-04 16:31:04.000	WAYPOINT	41.303555	-105.639467	41.303555	-105.639467
5	5	2017-07-13 16:55:31.000	WAYPOINT	41.303597	-105.639476	41.303597	-105.639476
5	5	2017-07-19 14:37:11.000	WAYPOINT	41.303586	-105.639316	41.303586	-105.639316
5	5	2017-08-09 16:03:00.000	WAYPOINT	41.303558	-105.63957	41.303558	-105.63957
6	1	2017-07-04 16:44:56.000	WAYPOINT	41.303413	-105.640418	41.303413	-105.640418
