Trt	Plot	Sample	Substrate	Enzyme_nm_g_hr	SampDate	RunDay
1wk	2	3	BX	15.55328349	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	3	BX	79.15992486	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	3	CBH	22.43856136	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	3	CBH	40.31942939	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	3	CBH	12.02876065	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	3	CBH	53.14804912	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	3	LAP	529.7270592	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	3	LAP	630.8162283	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	3	LAP	493.5929326	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	3	LAP	546.4262555	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	3	NAG	22.63325263	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	3	NAG	9.474333643	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	3	NAG	14.90017848	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	3	NAG	14.64841177	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	3	PER1	5.011918616	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	3	PER1	9.902991918	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	3	PER1	4.027096407	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	3	PER1	7.560979145	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	3	PEROX	9.609951558	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	3	PEROX	12.6369863	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	3	PEROX	11.44171887	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	3	PEROX	9.561495808	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	3	PHENOX	4.598032943	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	3	PHENOX	2.733994383	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	3	PHENOX	7.414622468	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	3	PHENOX	2.000516662	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	3	PHOS	218.7877082	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	3	PHOS	5.351363922	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	3	PHOS	63.42447173	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	3	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	4	AG	10.57894932	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	4	AG	17.30430663	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	4	AG	23.14804861	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	4	AG	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	4	BG	244.0183362	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	4	BG	470.2328458	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	4	BG	357.3682241	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	4	BG	324.7382773	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	4	BX	37.95024642	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	4	BX	56.0873589	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	4	BX	57.60101369	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	4	BX	39.30966645	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	4	CBH	8.731943649	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	4	CBH	27.88502138	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	4	CBH	27.61709444	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	4	CBH	29.6494019	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	4	LAP	471.7429826	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	4	LAP	539.6522935	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	4	LAP	514.9809433	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	4	LAP	543.7804212	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	4	NAG	15.7708473	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	4	NAG	5.085384708	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	4	NAG	25.12785129	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	4	NAG	10.77360562	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	4	PER1	7.898797055	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	4	PER1	6.724948036	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	4	PER1	1.70011556	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	4	PER1	0.814231204	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	4	PEROX	12.47571583	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	4	PEROX	8.462342153	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	4	PEROX	9.988537825	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	4	PEROX	5.658931491	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	4	PHENOX	4.576918775	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	4	PHENOX	1.737394117	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	4	PHENOX	8.288422265	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	4	PHENOX	4.844700287	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	4	PHOS	72.95117071	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	4	PHOS	0.110298672	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	4	PHOS	139.3825396	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	4	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	5	AG	22.98105701	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	5	AG	22.02943861	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	5	AG	56.20260806	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	5	AG	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	5	BG	321.2214462	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	5	BG	381.5082801	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	5	BG	576.1115733	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	5	BG	354.4536854	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	5	BX	55.35671431	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	5	BX	52.68241234	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	5	BX	102.6601917	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	5	BX	76.06079079	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	5	CBH	49.37410805	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	5	CBH	30.02695982	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	5	CBH	54.66475135	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	5	CBH	47.12440437	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	5	LAP	597.9584817	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	5	LAP	459.8983497	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	5	LAP	301.6324053	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	5	LAP	701.1843168	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	5	NAG	36.53725774	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	5	NAG	0	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	5	NAG	60.97406798	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	5	NAG	15.9893349	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	5	PER1	7.06991232	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	5	PER1	8.780023629	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	5	PER1	3.159051343	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	5	PER1	1.475983248	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	5	PEROX	11.99605726	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	5	PEROX	13.52703996	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	5	PEROX	7.071107019	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	5	PEROX	12.06327466	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	5	PHENOX	4.926144939	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	5	PHENOX	4.747016329	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	5	PHENOX	3.912055676	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	5	PHENOX	10.58729141	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	5	PHOS	105.9123831	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	5	PHOS	0	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	5	PHOS	172.6876951	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	5	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	1	AG	0	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	1	AG	5.32824968	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	1	AG	47.39758721	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	1	AG	18.40512232	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	1	BG	363.0983151	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	1	BG	293.0719544	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	1	BG	498.9299561	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	1	BG	470.0373683	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	1	BX	64.38018104	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	1	BX	48.26776513	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	1	BX	105.0817686	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	1	BX	66.01354041	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	1	CBH	39.07186361	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	1	CBH	25.34821642	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	1	CBH	44.07099703	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	1	CBH	47.02734179	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	1	LAP	621.0287763	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	1	LAP	437.9430058	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	1	LAP	629.8178877	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	1	LAP	484.4104031	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	1	NAG	34.47185086	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	1	NAG	7.524493997	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	1	NAG	59.2179251	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	1	NAG	12.88829252	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	1	PER1	1.559385791	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	1	PER1	7.481148575	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	1	PER1	3.92492462	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	1	PER1	5.548691378	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	1	PEROX	8.416919101	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	1	PEROX	13.13108751	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	1	PEROX	9.501984083	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	1	PEROX	17.31657769	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	1	PHENOX	6.85753331	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	1	PHENOX	5.649938934	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	1	PHENOX	5.577059463	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	1	PHENOX	11.76788631	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	1	PHOS	297.4062071	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	1	PHOS	0	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	1	PHOS	288.3144823	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	1	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	2	AG	0	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	2	AG	10.96127032	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	2	AG	101.7864894	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	2	AG	4.949727622	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	2	BG	428.0118085	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	2	BG	356.6988885	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	2	BG	737.4832196	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	2	BG	378.7102725	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	2	BX	77.89810126	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	2	BX	51.52265187	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	2	BX	143.0330922	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	2	BX	47.63279004	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	2	CBH	34.97433227	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	2	CBH	28.04160537	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	2	CBH	62.13238124	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	2	CBH	34.17644058	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	2	LAP	662.6560176	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	2	LAP	455.785803	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	2	LAP	640.7049882	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	2	LAP	455.6758719	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	2	NAG	34.77008457	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	2	NAG	9.28642139	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	2	NAG	64.01206545	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	2	NAG	0.014227357	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	2	PER1	2.410669076	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	2	PER1	4.797300955	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	2	PER1	3.711832492	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	2	PER1	2.715361583	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	2	PEROX	8.664605162	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	2	PEROX	12.98196008	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	2	PEROX	0.898146067	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	2	PEROX	15.41619067	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	2	PHENOX	6.253936085	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	2	PHENOX	8.184659125	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	2	PHENOX	0	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	2	PHENOX	12.70082909	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	2	PHOS	167.8107811	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	3	2	PHOS	0	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	2	PHOS	167.0872779	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	2	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	3	AG	43.44269312	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	3	AG	76.29292691	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	3	AG	53.6447289	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	3	AG	28.31117093	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	3	BG	637.3407625	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	3	BG	807.3451822	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	3	BG	492.5091322	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	3	BG	556.329431	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	3	BX	102.4239093	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	3	BX	187.2041195	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	3	BX	94.28822588	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	3	BX	105.5320068	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	3	CBH	71.62087175	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	3	CBH	93.48159053	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	3	CBH	42.46090028	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	3	CBH	62.26258585	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	3	LAP	677.9887377	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	3	LAP	970.9603395	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	3	LAP	490.3956364	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	3	LAP	641.2327454	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	3	NAG	92.10863944	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	3	NAG	102.0836565	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	3	NAG	49.27882547	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	3	NAG	37.16182216	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	3	PER1	7.349894194	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	3	PER1	12.88291228	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	3	PER1	4.277449053	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	3	PER1	6.704815925	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	3	PEROX	11.19544222	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	3	PEROX	16.65242413	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	3	PEROX	5.023991828	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	3	PEROX	18.10702749	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	3	PHENOX	3.845548022	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	3	PHENOX	3.769511847	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	3	PHENOX	0.746542775	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	3	PHENOX	11.40221156	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	3	PHOS	23.52082138	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	3	PHOS	144.9931276	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	3	PHOS	143.2458373	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	3	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	4	AG	67.39994617	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	4	AG	22.18383836	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	4	AG	70.5547005	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	4	AG	22.11502675	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	4	BG	615.1979675	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	4	BG	431.0905969	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	4	BG	619.5308697	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	4	BG	405.4625792	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	4	BX	180.9749516	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	4	BX	84.32517126	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	4	BX	106.9710726	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	4	BX	74.89297314	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	4	CBH	82.15198186	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	4	CBH	41.23605762	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	4	CBH	65.48966696	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	4	CBH	54.05691643	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	4	LAP	519.9876036	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	4	LAP	801.7482996	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	4	LAP	620.6173445	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	4	LAP	498.1447235	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	4	NAG	101.3518862	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	4	NAG	33.64406842	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	4	NAG	42.70932423	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	4	NAG	4.793502501	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	4	PER1	3.767406643	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	4	PER1	7.678802542	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	4	PER1	4.396967028	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	4	PER1	3.733460783	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	4	PEROX	16.19756591	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	4	PEROX	20.49280898	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	4	PEROX	7.414192975	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	4	PEROX	12.00617506	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	4	PHENOX	12.43015927	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	4	PHENOX	12.81400644	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	4	PHENOX	3.017225947	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	4	PHENOX	8.27271428	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	4	PHOS	11.98747027	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	4	PHOS	4.434210321	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	4	PHOS	185.5255761	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	4	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	5	AG	38.95500606	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	5	AG	22.43996602	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	5	AG	84.39640079	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	5	AG	50.17802038	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	5	BG	637.7801507	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	5	BG	386.242206	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	5	BG	657.9077631	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	5	BG	703.8448079	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	5	BX	147.0303814	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	5	BX	87.48982232	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	5	BX	167.9546713	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	5	BX	139.6233919	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	5	CBH	55.76475501	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	5	CBH	37.72655033	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	5	CBH	82.31716124	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	5	CBH	92.27296034	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	5	LAP	443.645816	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	5	LAP	764.3698328	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	5	LAP	670.3542888	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	3	5	LAP	708.5336989	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	3	5	NAG	81.50865927	2017-07-03 00:00:00.000	2017-09-28 00:00:00.000
24H	3	5	NAG	36.4344393	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	3	5	NAG	60.8540314	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
