"Treatment"	"diffTimeSeries"	"meanDON"	"seDON"	"meanGrav"	"seGrav"	"meanNH4"	"seNH4"	"meanDOC"	"seDOC"
"HI"	"diff_1WK"	-70.0169024866626	15.9831185156495	137.98914299978	11.522644363051	-22.0015505275163	23.0329564135179	-45.9980916374087	11.1574292778778
"HI"	"diff_24H"	-24.1371076512847	49.9264402635281	-18.4207215357217	15.4608849000627	42.4542010489308	13.7116312390544	-9.60675494285407	21.6958323480796
"HI"	"diff_4WK"	-69.0928072637613	20.2082554776819	105.654468249713	71.9729955426999	3.7290378530071	2.49156287244647	-31.7736249321773	9.88061477932455
"LO"	"diff_1WK"	-46.0337058794681	53.9662941205319	167.099080661675	12.669575673849	89.4153905109426	19.128975513365	4.32561042428405	21.660478836138
"LO"	"diff_24H"	117.809847940257	42.0556124517832	-12.9257756150553	17.1309857512512	94.0987204797034	23.1485119080797	82.7664564589253	22.1881274053905
"LO"	"diff_4WK"	12.0455401311902	112.04554013119	132.921961467587	74.9905651519193	49.0652025973196	46.564714887945	19.4479443019743	43.9242680176689
"NO"	"diff_1WK"	-55.3283624734002	39.8517571024594	203.61358629253	55.5424783516819	10.8689554307821	26.5280629402935	-26.0564115401762	5.71190536700867
"NO"	"diff_24H"	197.038537984044	84.8702068602781	-11.1063955002392	11.2612451639908	13.5492530982299	19.362035009405	8.10950696074651	16.9755247209112
"NO"	"diff_4WK"	-13.6120225186615	55.8952926042023	172.245114278106	105.033486397777	-13.9632150740867	26.1924375515869	-10.0624583912209	8.7299032684213
