"Param"	"contrast"	"Treatment"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"
"NPOC"	"diff_1WK - diff_24H"	"HI"	-0.494454650255107	0.271683123394496	Inf	-1.81996821914159	0.163015155667434
"NPOC"	"diff_1WK - diff_4WK"	"HI"	-0.256153766585743	0.271683123394496	Inf	-0.942840185968402	0.613121607758666
"NPOC"	"diff_24H - diff_4WK"	"HI"	0.238300883669364	0.271683123394496	Inf	0.877128033173194	0.654761772033559
"NPOC"	"diff_1WK - diff_24H"	"LO"	-0.576620366900693	0.271683123394496	Inf	-2.1224003894545	0.085330428262425
"NPOC"	"diff_1WK - diff_4WK"	"LO"	-0.0536819652987743	0.271683123394496	Inf	-0.197590356839448	0.978706791226862
"NPOC"	"diff_24H - diff_4WK"	"LO"	0.522938401601918	0.271683123394496	Inf	1.92481003261505	0.131680704375577
"NPOC"	"diff_1WK - diff_24H"	"NO"	-0.350559188573699	0.271683123394496	Inf	-1.29032375730115	0.40061089484608
"NPOC"	"diff_1WK - diff_4WK"	"NO"	-0.188210275291047	0.271683123394496	Inf	-0.692756594298119	0.767725956917277
"NPOC"	"diff_24H - diff_4WK"	"NO"	0.162348913282652	0.271683123394496	Inf	0.597567163003032	0.821417146000753
"NH4"	"diff_1WK - diff_24H"	"HI"	-0.68641008095186	0.302705487754703	Inf	-2.26758386854252	0.0604390486719125
"NH4"	"diff_1WK - diff_4WK"	"HI"	-0.3825934861508	0.302705487754703	Inf	-1.26391328082177	0.415687586641609
"NH4"	"diff_24H - diff_4WK"	"HI"	0.30381659480106	0.302705487754703	Inf	1.00367058772075	0.574522370938889
"NH4"	"diff_1WK - diff_24H"	"LO"	-0.0196711594926288	0.302705487754703	Inf	-0.064984482569306	0.997674476468018
"NH4"	"diff_1WK - diff_4WK"	"LO"	0.315731179637177	0.302705487754703	Inf	1.04303090762936	0.549669629721193
"NH4"	"diff_24H - diff_4WK"	"LO"	0.335402339129806	0.302705487754703	Inf	1.10801539019867	0.509087058854865
"NH4"	"diff_1WK - diff_24H"	"NO"	-0.0597306050210079	0.302705487754703	Inf	-0.197322504669656	0.978763860316147
"NH4"	"diff_1WK - diff_4WK"	"NO"	0.263700663878672	0.302705487754703	Inf	0.871145963803473	0.658535919824551
"NH4"	"diff_24H - diff_4WK"	"NO"	0.323431268899679	0.302705487754703	Inf	1.06846846847313	0.533704003916775
"DON"	"diff_1WK - diff_24H"	"HI"	-0.526051531446786	1.67415485340345	Inf	-0.314219159821063	0.947031061301347
"DON"	"diff_1WK - diff_4WK"	"HI"	0.0481481286550177	1.67415485340345	Inf	0.0287596625587745	0.999544090597033
"DON"	"diff_24H - diff_4WK"	"HI"	0.574199660101804	1.67415485340345	Inf	0.342978822379837	0.937218170695061
"DON"	"diff_1WK - diff_24H"	"LO"	-3.19272875376463	1.67415485340345	Inf	-1.90706895916708	0.136635907210404
"DON"	"diff_1WK - diff_4WK"	"LO"	-0.241400116487609	1.67415485340345	Inf	-0.144192226899954	0.988603047849606
"DON"	"diff_24H - diff_4WK"	"LO"	2.95132863727702	1.67415485340345	Inf	1.76287673226713	0.182213926803716
"DON"	"diff_1WK - diff_24H"	"NO"	-2.94495592198676	1.67415485340345	Inf	-1.759070205483	0.183548991064502
"DON"	"diff_1WK - diff_4WK"	"NO"	-0.734637863569492	1.67415485340345	Inf	-0.438811178115346	0.899318364115935
"DON"	"diff_24H - diff_4WK"	"NO"	2.21031805841727	1.67415485340345	Inf	1.32025902736765	0.383832173721732
"GravMois"	"diff_1WK - diff_24H"	"HI"	1.09212405976533	0.43738174794051	Inf	2.49695846913546	0.0335150039691248
"GravMois"	"diff_1WK - diff_4WK"	"HI"	0.335244215725261	0.43738174794051	Inf	0.766479665198236	0.723610800223228
"GravMois"	"diff_24H - diff_4WK"	"HI"	-0.756879844040067	0.43738174794051	Inf	-1.73047880393723	0.193799027280921
"GravMois"	"diff_1WK - diff_24H"	"LO"	1.14303057421296	0.43738174794051	Inf	2.61334767533195	0.0243364931812341
"GravMois"	"diff_1WK - diff_4WK"	"LO"	0.287895657060876	0.43738174794051	Inf	0.658225128086584	0.787689426475612
"GravMois"	"diff_24H - diff_4WK"	"LO"	-0.855134917152081	0.43738174794051	Inf	-1.95512254724537	0.123531347400136
"GravMois"	"diff_1WK - diff_24H"	"NO"	1.19866208806798	0.43738174794051	Inf	2.74053980009932	0.0168833893819584
"GravMois"	"diff_1WK - diff_4WK"	"NO"	0.316351196693665	0.43738174794051	Inf	0.723283946308371	0.749682708712784
"GravMois"	"diff_24H - diff_4WK"	"NO"	-0.882310891374311	0.43738174794051	Inf	-2.01725585379095	0.108041443289721
